cell_type_ontology_term_id,cell_type,count
CL:4030016,epithelial cell of early distal convoluted tubule,2945
CL:0000545,T-helper 1 cell,2945
CL:4033043,lung interstitial macrophage,2922
CL:4033019,ON-blue cone bipolar cell,2896
CL:0000388,tendon cell,2887
CL:0005011,renal alpha-intercalated cell,2827
CL:0000178,Leydig cell,2803
CL:2000054,hepatic pit cell,2785
CL:0000319,mucus secreting cell,2780
CL:0000032,neuroplacodal cell,2759
CL:0009086,endothelial cell of respiratory system lymphatic vessel,2634
CL:0000970,unswitched memory B cell,2633
CL:2000046,ventricular cardiac muscle cell,2598
CL:0009041,tuft cell of colon,2564
CL:0000553,megakaryocyte progenitor cell,2564
CL:0002585,retinal blood vessel endothelial cell,2518
CL:0001055,"CD14-positive, CD16-low monocyte",2494
CL:0009039,colon goblet cell,2464
CL:1001509,glycinergic neuron,2458
CL:0002028,basophil mast progenitor cell,2420
CL:0002362,cerebellar granule cell precursor,2410
CL:4040002,enteroglial cell,2399
CL:0002204,tuft cell,2397
CL:4023063,medial ganglionic eminence derived interneuron,2386
CL:4023059,committed oligodendrocyte precursor,2382
CL:0000335,mesenchyme condensation cell,2315
CL:1001451,sensory neuron of dorsal root ganglion,2286
CL:1000487,smooth muscle cell of prostate,2218
CL:4040003,fetal pre-type II pulmonary alveolar epithelial cell,2216
CL:0000767,basophil,2197
CL:0002370,respiratory tract goblet cell,2178
CL:0005006,ionocyte,2136
CL:4033016,secondary crest myofibroblast,2111
CL:4030006,fallopian tube secretory epithelial cell,2108
CL:0017009,"Axl+ dendritic cell, human",2095
CL:0000095,neuron associated cell,1981
CL:0000327,extracellular matrix secreting cell,1971
CL:0007011,enteric neuron,1969
CL:4033080,cycling pulmonary alveolar type 2 cell,1968
CL:0002075,brush cell of tracheobronchial tree,1887
CL:0000914,immature NK T cell,1886
CL:4033038,"lung resident memory CD4-positive, alpha-beta T cell",1859
CL:4030015,kidney collecting duct alpha-intercalated cell,1855
CL:1000343,paneth cell of epithelium of small intestine,1840
CL:0000903,natural T-regulatory cell,1821
CL:0009112,centroblast,1806
CL:0002591,smooth muscle cell of the pulmonary artery,1789
CL:4052030,adventitial fibroblast,1741
CL:0009076,neuro-medullary thymic epithelial cell,1741
CL:1000312,bronchial goblet cell,1731
CL:0009080,tuft cell of small intestine,1704
CL:1000695,kidney interstitial alternatively activated macrophage,1696
CL:0002225,secondary lens fiber,1677
CL:4033013,suprabasal keratinocyte,1629
CL:0000547,proerythroblast,1627
CL:0000802,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",1620
CL:0000101,sensory neuron,1605
CL:0002574,stromal cell of pancreas,1582
CL:1000892,kidney capillary endothelial cell,1580
CL:0019021,endothelial cell of periportal hepatic sinusoid,1560
CL:0017000,pulmonary ionocyte,1557
CL:1000320,large intestine goblet cell,1556
CL:2000059,prostate gland microvascular endothelial cell,1547
