cell_type_ontology_term_id,cell_type,count
CL:0000594,skeletal muscle satellite cell,4780
CL:0000210,photoreceptor cell,4703
CL:0000547,proerythroblast,4677
CL:0002539,aortic smooth muscle cell,4631
CL:0008034,mural cell,4593
CL:1000507,kidney tubule cell,4572
CL:4052026,type IIx muscle cell,4554
CL:1000838,kidney proximal convoluted tubule epithelial cell,4460
CL:0002598,bronchial smooth muscle cell,4456
CL:0000763,myeloid cell,4427
CL:0011026,progenitor cell,4351
CL:0000988,hematopoietic cell,4251
CL:0002437,mature CD8 single-positive thymocyte,4234
CL:0002477,adipose macrophage,4190
CL:0000359,vascular associated smooth muscle cell,4144
CL:2000043,brain pericyte,4101
CL:0000788,naive B cell,4018
CL:1001319,bladder cell,4015
CL:0000119,cerebellar Golgi cell,3989
CL:0000814,mature NK T cell,3966
CL:1001597,seminal vesicle glandular cell,3955
CL:0011028,olfactory ensheathing cell,3947
CL:0000058,chondroblast,3928
CL:0000559,promonocyte,3842
CL:1001108,kidney loop of Henle medullary thick ascending limb epithelial cell,3840
CL:0002621,gingival epithelial cell,3773
CL:4028002,alveolar capillary type 1 endothelial cell,3772
CL:0002586,retinal pigment epithelial cell,3765
CL:0000808,DN4 thymocyte,3756
CL:0007005,notochordal cell,3752
CL:1001021,kidney loop of Henle descending limb epithelial cell,3693
CL:0000451,dendritic cell,3677
CL:0002071,enterocyte of epithelium of large intestine,3667
CL:0002214,type IIa muscle cell,3658
CL:0000187,muscle cell,3652
CL:1001109,kidney loop of Henle cortical thick ascending limb epithelial cell,3600
CL:0000748,retinal bipolar neuron,3579
CL:0002139,endothelial cell of vascular tree,3531
CL:0000148,melanocyte,3530
CL:0000893,thymocyte,3517
CL:1001432,kidney collecting duct intercalated cell,3505
CL:1000909,kidney loop of Henle epithelial cell,3484
CL:4033054,perivascular cell,3475
CL:0002489,double negative thymocyte,3366
CL:0000092,osteoclast,3323
CL:0008024,pancreatic endocrine cell,3261
CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",3222
CL:0002337,keratinocyte stem cell,3057
CL:0002099,type I cell of adrenal cortex,3048
CL:4030006,fallopian tube secretory epithelial cell,2972
CL:0002275,pancreatic PP cell,2934
CL:0000765,erythroblast,2918
CL:0000760,type 8 cone bipolar cell (sensu Mus),2862
CL:0000761,type 9 cone bipolar cell (sensu Mus),2811
CL:0000527,efferent neuron,2807
CL:0000050,megakaryocyte-erythroid progenitor cell,2792
CL:0000145,professional antigen presenting cell,2755
CL:0002326,luminal epithelial cell of mammary gland,2671
CL:0002079,pancreatic ductal cell,2662
CL:0000784,plasmacytoid dendritic cell,2546
CL:0000798,gamma-delta T cell,2478
CL:0002201,renal beta-intercalated cell,2447
CL:0002573,Schwann cell,2412
CL:0000708,leptomeningeal cell,2404
CL:4023181,hypendymal cell,2389
CL:1000452,parietal epithelial cell,2310
CL:0000024,oogonial cell,2272
CL:0000362,epidermal cell,2227
CL:4023121,sst chodl GABAergic cortical interneuron,2226
CL:0000864,tissue-resident macrophage,2223
CL:2000059,prostate gland microvascular endothelial cell,2182
CL:0000670,primordial germ cell,2157
CL:0008001,hematopoietic precursor cell,2144
CL:0002553,fibroblast of lung,2109
CL:0002293,epithelial cell of thymus,2102
CL:0000542,lymphocyte,1996
CL:1000299,fibroblast of connective tissue of prostate,1988
CL:0002253,epithelial cell of large intestine,1933
CL:0002250,intestinal crypt stem cell,1918
CL:4030032,valve interstitial cell,1876
CL:4023059,committed oligodendrocyte precursor,1865
CL:0002393,intermediate monocyte,1852
CL:0000753,type 1 cone bipolar cell (sensu Mus),1795
CL:0002420,immature T cell,1784
CL:0000817,precursor B cell,1771
CL:0000766,myeloid leukocyte,1771
CL:0019031,intestine goblet cell,1745
